nombre,num_vars,num_constraints,num_frac_vars,frac_var_ratio,lp_obj_value,primal_bound,dual_bound,gap,feasible_leaves,lp_iterations,lp_solving_time,lp_iterations_per_var,nsols,obj_mean,obj_std,obj_pos_ratio,obj_neg_ratio,obj_nonzero_ratio,farkas_mean,farkas_std,farkas_min,activity_mean,n_constraints_static,n_variables_static,pct_unary_constraints,pct_binary_constraints,pct_ternary_constraints,pct_quaternary_or_more,pct_terms_in_obj,pct_terms_in_constraints,pct_positive_terms_in_constraints,pct_positive_terms_in_obj,lbd_avg,trailpop_per_conflict,decisions_per_total_conflict,propagations_per_total_conflict,prop_per_decisions,decisions_per_conflict,propagations_per_conflict,total_conflicts_per_conflict,learned_clauses_per_conflict,restarts_per_conflict,learned_clause_length_avg,time_taken
normalized-mps-v2-20-10-a1c1s1.opb,64084.0,12981.0,64084.0,1.0,1e+20,1e+20,0.0,1e+20,0.0,10001.0,5.035138,0.15606079520629174,0.0,140789292056.72165,1127969223560.1812,0.36229205175600737,0.0,0.36229205175600737,1.0000000000000001e+99,1.2141680576410807e+83,1e+99,32639.235443818925,3312.0,103872.0,0.0,0.0,0.0,1.0,0.121383,0.878617,0.375556,1.0,89236100.0,425279.0,-185.625,-145.371,0.783146,-359648.0,-281657.0,1937.5,322.441,10.9701,691.508,3.87382
normalized-aries-da_network_20_2__17_12__512.opb,18998.0,1560.0,18998.0,1.0,1e+20,1e+20,0.0,1e+20,0.0,0.0,5.003012,0.0,0.0,43575.75100009757,25757.279708189377,0.9991218655478583,0.0,0.9991218655478583,0.0,0.0,0.0,0.0,60.0,20498.0,0.0,0.0,0.0,1.0,0.249945,0.750055,0.666471,1.0,120234000.0,1986880.0,815.878,3495.53,4.28438,379383.0,1625420.0,465.0,73.1149,3.85177,-25600.9,4.51417
normalized-BA_RDC4.dot_luby_10null50mast_rapportOE1.0_TMAX120_K67_cod2_pbEq1_newVersion_product.opb,52558.0,135477.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.050223,0.0,0.0,-1.0946444096678838,16.61962785654479,0.0,0.007616066770996349,0.007616066770996349,0.0,0.0,0.0,0.0,149401.0,57510.0,6.6934e-06,0.752431,0.171404,0.0761575,0.00109567,0.998904,0.589766,0.0,104779000.0,851265.0,120.679,1485.2,12.307,67339.0,828742.0,558.0,344.67,4.21486,1839.74,4.7428
normalized-fx92.opb,6336.0,1359.0,6336.0,1.0,1e+20,1e+20,9.0,1e+20,0.0,1384.0,5.004872,0.21843434343434343,0.0,0.001256281407035176,0.03542178939666252,0.001256281407035176,0.0,0.001256281407035176,0.0,0.0,0.0,0.7409551374819102,7824.0,7164.0,0.0,0.914494,0.0,0.0855061,0.000120846,0.999879,0.192289,1.0,80171100.0,562705.0,17.1853,305.745,17.7911,30143.0,536277.0,1754.0,272.392,10.0863,-583.523,1.85549
normalized-BA_RDC4.dot_luby_50null20mast_rapportOE1.0_TMAX60_K67_cod3.opb,21740.0,22052.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.024612,0.0,0.0,-41.35136337791402,93.15273097995568,0.0,0.39647969147857903,0.39647969147857903,0.0,0.0,0.0,0.0,40950.0,40451.0,2.442e-05,0.0951404,0.625348,0.279487,0.0674089,0.932591,0.455087,0.0,104233000.0,485049.0,199.56,2595.92,13.0082,37417.6,486735.0,187.5,68.4628,1.93617,26030.2,4.86994
normalized-queens-30.opb,900.0,900.0,900.0,1.0,-32.0,-32.0,-900.0,27.125,0.0,11580.0,5.453042,12.866666666666667,3.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,103.02222222222223,960.0,900.0,0.0,0.0,0.0,1.0,0.00953996,0.99046,0.0,0.0,53791800.0,-110117.0,3.85718,-19.8525,-5.14689,28201.7,-145151.0,7311.5,4659.85,32.5862,17.8887,4.91614
normalized-domset_opt_hexgrid_nrowsdiv30add5_ncols_480.opb,10080.0,10080.0,10080.0,1.0,2583.0,2583.0,0.0,1e+20,0.0,10001.0,5.032233,0.9921626984126984,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10080.0,10080.0,0.0,0.0,0.0,1.0,0.2,0.8,1.0,1.0,120058000.0,772410.0,25.1166,753.701,30.008,25104.1,753324.0,999.5,94.723,4.7625,-4059.2,4.88025
normalized-mul_8_14_shg.opb,14300.0,65280.0,0.0,0.0,14300.0,14300.0,-1e+20,1e+20,0.0,0.0,5.426441,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,65280.0,14300.0,0.0,0.0,0.0,1.0,0.00278964,0.99721,1.0,1.0,84628100.0,1182710.0,2074.66,1339.9,0.64584,726131.0,468964.0,350.0,19.7475,3.14551,91977.6,4.3066
normalized-j12037_1.std.opb,53435.0,117638.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.016742,0.0,0.0,0.6198347107438017,11.126066629782756,0.004118503061420609,0.0,0.004118503061420609,0.0,0.0,0.0,0.0,245410.0,72842.0,0.00321503,0.845984,0.145911,0.00488978,0.000449277,0.999551,0.365391,1.0,114957000.0,3888.43,29.0845,-8.10983,-0.278837,93521.2,-26077.2,3215.5,2959.6,17.0086,77.877,4.70667
normalized-BA_RDC4.dot_luby_10null50mast_rapportOE1.0_TMAX180_K67_cod2_pbEq1_newVersion_sequential.opb,72823.0,145712.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.050754,0.0,0.0,-0.7717468827623521,13.974757027018908,0.0,0.005385996409335727,0.005385996409335727,0.0,0.0,0.0,0.0,161483.0,81322.0,6.1926e-06,0.770954,0.15858,0.0704594,0.00103321,0.998967,0.504753,0.0,119677000.0,2030480.0,444.516,16959.0,38.1517,53119.7,2026610.0,119.5,83.7042,1.58333,2601.42,4.8057
normalized-BA_RDC4.dot_unif_20null10mast_rapportOE1.0_TMAX60_K67_cod1.opb,30389.0,30846.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.016474,0.0,0.0,-355.4791228894218,361.0351567284554,0.0,0.6346938270994537,0.6346938270994537,0.0,0.0,0.0,0.0,40950.0,40451.0,2.442e-05,0.0951404,0.625348,0.279487,0.103709,0.896291,0.455087,0.0,106717000.0,474100.0,158.943,2134.76,13.431,35603.2,478187.0,224.0,95.2584,2.19822,18848.0,4.87702
normalized-BA_RDC4.dot_luby_10null50mast_rapportOE1.0_TMAX300_K67_cod2_pbEq1_newVersion.opb,33757.0,33826.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.219814,0.0,0.0,-1.5362141827686444,19.669852788966814,0.0,0.010699367320516892,0.010699367320516892,0.0,0.0,0.0,0.0,40882.0,40937.0,2.44606e-05,0.0952742,0.626388,0.278313,0.00239714,0.997603,0.729932,0.0,99537300.0,3319870.0,691.665,21856.2,31.5994,102712.0,3245650.0,148.5,42.5134,1.66443,10311.3,4.8125
normalized-sbox_4_shg.opb,146.0,205.0,0.0,0.0,22.0,22.0,22.0,0.0,0.0,9210.0,1.500442,63.082191780821915,309.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,240.0,147.0,0.0,0.00416667,0.00833333,0.9875,0.0538264,0.946174,1.0,1.0,68437700.0,186841.0,6.84669,49.5574,7.23816,22299.7,161409.0,3257.0,677.772,17.1782,262.906,0.81867
normalized-BA_RDC4.dot_luby_50null10mast_rapportOE1.0_TMAX120_K67_cod2_pbEq1_newVersion_binary.opb,43616.0,288563.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.035682,0.0,0.0,-0.2871521346158138,8.384514202398838,0.0,0.005423017697337588,0.005423017697337588,0.0,0.0,0.0,0.0,297596.0,44809.0,3.36026e-06,0.875714,0.0860495,0.038233,0.000349163,0.999651,0.385501,0.0,69730300.0,1008340.0,131.912,1902.95,14.426,67472.9,973361.0,511.5,173.979,4.04297,7945.9,4.60128
normalized-j12018_9.std.opb,57468.0,120616.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.024,0.0,0.0,0.6198347107438017,11.126066629782756,0.004118503061420609,0.0,0.004118503061420609,0.0,0.0,0.0,0.0,234221.0,72842.0,0.00305267,0.839203,0.152621,0.00512337,0.000464847,0.999535,0.360771,1.0,124096000.0,128392.0,35.1763,15.0249,0.42713,136889.0,58469.2,3891.5,3055.75,19.2483,-54.9658,4.6719
normalized-BA_RDC4.dot_fibo_10null20mast_rapportOE2.0_TMAX15_K67_cod2_pbEq1_newVersion_sequential.opb,72824.0,145712.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.032272,0.0,0.0,-16.73534836821524,397.848277907457,0.0,0.005385996409335727,0.005385996409335727,0.0,0.0,0.0,0.0,161483.0,81322.0,6.1926e-06,0.770954,0.15858,0.0704594,0.00103321,0.998967,0.504753,0.0,104087000.0,1248400.0,131.637,2299.63,17.4694,70886.7,1238350.0,538.5,80.5705,4.14286,10269.7,4.7641
normalized-mps-v2-20-10-markshare2_1.opb,260.0,211.0,260.0,1.0,91897.0,91897.0,0.0,1e+20,0.0,10485.0,5.000098,40.32692307692308,6.0,22776341.7,87368235.03630315,0.6363636363636364,0.0,0.6363636363636364,0.0009093034128097243,0.016952439466493108,-0.05719962599345489,24484.298507462685,13.0,330.0,0.0,0.0,0.0,1.0,0.158371,0.841629,0.94086,1.0,33285300.0,166692.0,5.52215,31.7398,5.74773,24090.4,138465.0,4362.5,1669.0,20.775,-24.7448,4.93304
normalized-domset_opt_hexgrid_nrowsdiv30add5_ncols_750.opb,22500.0,22500.0,22500.0,1.0,5640.0,5640.0,0.0,1e+20,0.0,8285.0,5.001664,0.36822222222222223,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,22500.0,22500.0,0.0,0.0,0.0,1.0,0.2,0.8,1.0,1.0,134218000.0,2243990.0,25.2418,5064.73,200.648,11220.0,2251270.0,444.5,0.0,1.0,0.0,4.88572
normalized-hw128-vm98p-opt.opb.negationfix.opb,174615.0,1626.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.049867,0.0,0.0,0.0007304601899196494,0.027017154140112385,0.0007304601899196494,0.0,0.0007304601899196494,0.0,0.0,0.0,0.0,2994.0,175232.0,0.0,0.0,0.0,1.0,0.000183016,0.999817,0.251144,1.0,94533100.0,355305.0,1154.23,465.571,0.403361,321453.0,129661.0,278.5,6.29391,2.66308,213910.0,4.61934
normalized-BA_RDC4.dot_unif_10null20mast_rapportOE2.0_TMAX180_K67_cod2_pbEq1_newVersion_product.opb,52417.0,135057.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.087552,0.0,0.0,-4.632533472439576,60.389988491150405,0.0,0.007616066770996349,0.007616066770996349,0.0,0.0,0.0,0.0,149401.0,57510.0,6.6934e-06,0.752431,0.171404,0.0761575,0.00109567,0.998904,0.589766,0.0,53641000.0,-291421.0,51.1219,154.715,3.0264,133837.0,405044.0,2618.0,1792.12,14.2584,134.913,4.7616
normalized-single-obj-f58-fob_fxl_loss.seq-A-3-1-abcdeir.opb,26772.0,51503.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.039263,0.0,0.0,2506736.3147092243,124300268.40435846,0.00828703365890778,0.0,0.00828703365890778,0.0,0.0,0.0,0.0,291294.0,95933.0,0.000267771,0.743119,0.132258,0.124355,0.00101607,0.998984,0.521437,1.0,134218000.0,26410.3,311.667,33798.7,108.445,935.0,101396.0,3.0,3.14286,1.0,168.727,4.79657
normalized-BA_RDC4.dot_luby_50null0mast_rapportOE2.0_TMAX120_K67_cod2_pbEq1_newVersion_binary.opb,43616.0,288563.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.052412,0.0,0.0,-0.019929032114084224,0.6414182913651625,0.0,0.005423017697337588,0.005423017697337588,0.0,0.0,0.0,0.0,297596.0,44809.0,3.36026e-06,0.875714,0.0860495,0.038233,0.000349163,0.999651,0.385501,0.0,97177100.0,380782.0,50.0588,287.864,5.75051,61647.4,354504.0,1231.5,766.499,8.06088,-426.104,4.69016
normalized-BA_RDC4.dot_luby_20null20mast_rapportOE1.0_TMAX120_K67_cod2_pbEq1_newVersion_ladder.opb,54755.0,54928.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.338291,0.0,0.0,-0.3183271439462876,8.85076009010559,0.0,0.004783453432035611,0.004783453432035611,0.0,0.0,0.0,0.0,201868.0,81322.0,4.95373e-06,0.622204,0.324167,0.0536242,0.000770845,0.999229,0.503992,0.0,98208100.0,692270.0,200.201,3911.0,19.5353,36837.1,719623.0,184.0,84.1463,1.91599,3139.79,4.78106
normalized-mps-v2-20-10-core2536-691.opb,11230.0,1893.0,11230.0,1.0,958.0,958.0,8.0,118.75,0.0,13671.0,5.00065,1.2173642030276046,2.0,1.9021852918084272,0.2970639511165404,1.0,0.0,1.0,0.0,0.0,0.0,0.0010565240359218173,2537.0,15284.0,0.00197083,0.00157667,0.002365,0.994088,0.0862081,0.913792,0.914887,1.0,131344000.0,529843.0,106.826,641.371,6.00387,77288.8,464032.0,723.5,4.77901,5.02762,-244205.0,4.78545
normalized-BA_RDC4.dot_fibo_0null20mast_rapportOE2.0_TMAX120_K67_cod2.opb,36668.0,36737.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.04575,0.0,0.0,-32.311893885726846,554.1286481988133,0.0,0.011871900725505044,0.011871900725505044,0.0,0.0,0.0,0.0,41436.0,40937.0,2.41336e-05,0.0940245,0.618013,0.287938,0.0021725,0.997827,0.598238,0.0,87834400.0,329580.0,54.8181,192.258,3.5072,81267.9,285023.0,1482.5,495.881,9.05765,923.081,4.84358
normalized-NG.dot_fibo_10null0mast_rapportOE1.0_TMAX15_K192_cod1.opb,365115.0,366610.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.348397,0.0,0.0,-644.0538970166344,1478.9215804794826,0.0,0.7680907412186524,0.7680907412186524,0.0,0.0,0.0,0.0,400980.0,399113.0,0.0,0.0609706,0.331051,0.607978,0.1161,0.8839,0.48797,0.0,134218000.0,425302.0,73718.6,12989.6,0.176205,368593.0,64947.9,5.0,0.0,1.0,0.0,4.37295
normalized-j12038_1.std.opb,53438.0,117074.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.017052,0.0,0.0,0.6198347107438017,11.126066629782756,0.004118503061420609,0.0,0.004118503061420609,0.0,0.0,0.0,0.0,245282.0,72842.0,0.00321671,0.846087,0.145804,0.00489233,0.00044948,0.999551,0.365364,1.0,121907000.0,-13644.1,41.2497,-28.0273,-0.679455,165700.0,-112586.0,4017.0,3350.7,19.6082,-48.9355,4.63749
normalized-BA_RDC4.dot_luby_50null0mast_rapportOE2.0_TMAX180_K67_cod2_pbEq1_newVersion.opb,22009.0,22095.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.003983,0.0,0.0,-0.021203312406869092,0.681942945797721,0.0,0.005935950362752522,0.005935950362752522,0.0,0.0,0.0,0.0,40882.0,40937.0,2.44606e-05,0.0952742,0.626388,0.278313,0.00133134,0.998669,0.729932,0.0,90428100.0,67544.1,47.8518,22.7301,0.475009,69863.6,33185.9,1460.0,519.475,8.99041,349.284,4.8328
normalized-knapPI_15_20_1000_2_-948.opb,0.0,0.0,0.0,0.0,-318.0,-318.0,-318.0,0.0,0.0,0.0,0.0009689999999999999,0.0,2.0,-191.075,88.20101685921767,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,105731000.0,5113.0,9.04834,32.4878,3.59047,1103.9,3963.51,122.0,70.8612,1.59184,33.6903,0.007362
normalized-BA_RDC4.dot_luby_10null10mast_rapportOE1.0_TMAX180_K67_cod2.opb,33784.0,33853.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.24283,0.0,0.0,-0.33182695361164716,8.80265221102234,0.0,0.010699367320516892,0.010699367320516892,0.0,0.0,0.0,0.0,41436.0,40937.0,2.41336e-05,0.0940245,0.618013,0.287938,0.00195836,0.998042,0.598238,0.0,88007800.0,-1922870.0,438.14,-6983.96,-15.94,126403.0,-2014870.0,288.5,50.0865,2.75087,24618.9,4.80163
normalized-BA_RDC4.dot_fibo_0null0mast_rapportOE1.0_TMAX120_K67_cod1.opb,36184.0,36738.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.044881,0.0,0.0,-550.5601839262317,1333.3594222663423,0.0,0.7929593829571581,0.7929593829571581,0.0,0.0,0.0,0.0,40950.0,40451.0,2.442e-05,0.0951404,0.625348,0.279487,0.126304,0.873696,0.455087,0.0,102340000.0,513759.0,51.0533,471.818,9.24167,53606.0,495409.0,1050.0,514.462,7.09567,996.347,4.77647
normalized-aries-da_network_20_2__17_12__256.opb,8758.0,2012.0,0.0,0.0,46877.0,46877.0,46877.0,0.0,0.0,7.0,4.136861,0.0007992692395524092,1.0,43537.5192045233,25778.283483435825,0.9982452719828426,0.0,0.9982452719828426,0.0,0.0,0.0,0.0,60.0,10258.0,0.0,0.0,0.0,1.0,0.24989,0.75011,0.666276,1.0,111758000.0,-374894.0,181.18,-410.111,-2.26356,291156.0,-659048.0,1607.0,461.413,9.49922,112.996,4.5939
normalized-NG.dot_fibo_10null50mast_rapportOE1.0_TMAX120_K192_cod2.opb,400896.0,400786.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.282647,0.0,0.0,-25.96163094667944,522.2878987114703,0.0,0.004003532088122605,0.004003532088122605,0.0,0.0,0.0,0.0,402763.0,400896.0,0.0,0.0607007,0.329586,0.609713,0.000685739,0.999314,0.63328,0.0,134218000.0,1302670.0,185450.0,598542.0,3.22751,370900.0,1197080.0,2.0,0.6,1.0,58165.0,4.41265
normalized-clique-coloring-max-clique-n=13-t=7.opb,351.0,12780.0,351.0,1.0,6.0,6.0,0.0,1e+20,0.0,1960.0,5.001799,5.584045584045584,9.0,0.037037037037037035,0.18885257457751053,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.0,2.1867804839846503,12753.0,351.0,0.0,0.0,0.996942,0.0030581,0.000336814,0.999663,0.322439,1.0,59412100.0,-18760.2,-5.38616,-16.3252,3.03096,7420.14,22490.1,-1377.63,-4787.5,144.258,-1.55409,4.66366
normalized-jul5.5.opb,9561.0,27493.0,9561.0,1.0,1e+20,1e+20,0.0,1e+20,0.0,3197.0,5.013587,0.33437924903252797,0.0,0.021906146179401995,0.564779692292501,0.0026993355481727574,0.0,0.0026993355481727574,9.999999999999996e+98,3.642504172923242e+83,1e+99,2.0458441226886466,29620.0,9632.0,0.0,0.557731,0.175827,0.266442,0.000249554,0.99975,0.415323,1.0,50589700.0,46043.1,2.43325,-0.569463,-0.234034,40255.7,-9421.19,16544.0,10966.4,62.3226,5.26264,4.75581
normalized-BA_RDC4.dot_fibo_20null20mast_rapportOE2.0_TMAX15_K67_cod2_pbEq1_newVersion.opb,30779.0,30844.0,0.0,0.0,1e+20,1e+20,-1e+20,1e+20,0.0,0.0,5.032377,0.0,0.0,-32.85062412976036,560.7693220405969,0.0,0.009502406136258152,0.009502406136258152,0.0,0.0,0.0,0.0,40882.0,40937.0,2.44606e-05,0.0952742,0.626388,0.278313,0.00212953,0.99787,0.729932,0.0,99731800.0,1095090.0,103.669,1356.87,13.0885,80239.4,1050210.0,774.0,98.7482,5.40801,12465.8,4.85582
normalized-autocorr_bern50-50.lin.opb,30271.0,30221.0,0.0,0.0,0.0,0.0,-1e+20,1e+20,0.0,0.0,5.001359,0.0,2.0,0.0,161.39185577030273,0.354299494565756,0.645700505434244,1.0,0.0,0.0,0.0,0.0,60442.0,30271.0,0.0,0.0,0.0405347,0.959465,0.104893,0.895107,0.5,0.354299,134218000.0,339489.0,77.3675,28364.6,366.622,1005.78,368740.0,13.0,9.37037,1.0,26874.8,4.93059
normalized-KE_410_004.opb,7397.0,261.0,0.0,0.0,-13862.0,-13862.0,-13862.0,0.0,0.0,1479.0,0.684037,0.19994592402325267,4.0,-117.74482870071105,47.31351322163698,0.0,0.9996767937944409,0.9996767937944409,0.0,0.0,0.0,0.0,307.0,12376.0,0.0,0.0716612,0.0423453,0.885993,0.253457,0.746543,0.0,0.0,53917700.0,378413.0,99.1916,842.248,8.49112,41065.3,348691.0,414.0,20.2051,3.58745,-58893.7,4.8998
